SKU,Descripción,Precio
001AGAVE,"Popote café 21 cm Agave estuchado CAJA 2,000 Pzas. AG*1",1309.09
001AGAVEP,Popote café 21 cm Agave estuchado PQTE 500 Pzas. AG*1,400.00
002AGAVE,Bolsa camiseta Agave Vitabag Chica 25x15x41 cm CAJA 10 KG AG*5,1174.32
002AGAVEP,Bolsa camiseta Agave Vitabag Chica 25x41x7.5cm PQTE 1 KG AG*5,135.58
004AGAVE,Bolsa camiseta Agave Vitabag Grande 30x20x61 cm CAJA 10 KG. AG*5,1096.06
004AGAVEP,Bolsa camiseta Agave Vitabag Grande 30x61x10 cm PQTE 1 KG AG*5,126.55
003AGAVE,Bolsa camiseta Agave Vitabag Mediana 25x15x51 cm CAJA 10 KG. AG*5,1174.32
003AGAVEP,Bolsa camiseta Agave Vitabag Mediana 25x51x7.5cm PQTE 1 KG AG*5,135.58
004.1BAMBUPLA,Contenedor redondo 26 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,1260.47
004.1BAMBUPLAP,Contenedor redondo 26 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,247.40
005.1BAMBUPLA,Contenedor redondo 35 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,1351.81
005.1BAMBUPLAP,Contenedor redondo 35 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,265.32
005.2BAMBUPLA,Contenedor redondo 46 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,1589.29
005.2BAMBUPLAP,Contenedor redondo 46 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,311.93
002BAMBUPLA,"Contenedor térmico 8 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",2484.41
003.0BAMBUPLA,"Contenedor térmico 12 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",3068.98
003.0BAMBUPLAP,Contenedor térmico 12 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,177.16
003.1BAMBUPLA,Contenedor térmico 16 oz beige compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,1554.33
003.1BAMBUPLAP,Contenedor térmico 16 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,179.45
004.0BAMBUPLA,Contenedor térmico 21 oz beige (sopero 1/2 lt) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,1610.00
004.0BAMBUPLAP,Contenedor térmico 21 oz beige (sopero 1/2 lt) compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,186.00
005.0BAMBUPLA,Contenedor térmico 32 oz beige (sopero 1 lt) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,1915.00
005.0BAMBUPLAP,Contenedor térmico 32 oz beige (sopero 1 lt) compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,219.64
001BAMBUPLA,"Contenedor térmico 5 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",1698.90
001BAMBUPLAP,Contenedor térmico 5 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,98.07
002BAMBUPLAP,Contenedor térmico 8 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,143.42
005.3BAMBUPLA,Tapa contenedor térmico 16 oz beige compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,1832.00
005.3BAMBUPLAP,Tapa contenedor térmico 16 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,214.31
006BAMBUPLA,Tapa contenedor térmico 21/32 oz beige (sopero) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,1863.31
006BAMBUPLAP,Tapa contenedor térmico 21/32 oz beige (sopero) compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,215.13
013BAMBUPLA,"Tapa cafetera blanca vaso 10/12/16/20 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",2150.00
012BAMBUPLA,"Tapa cafetera blanca vaso 8 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",1757.00
012BAMBUPLAP,Tapa cafetera blanca vaso 8 oz compostable Caña Azúcar PQTE 50 Pzas. CA*2,103.82
014BAMBUPLA,"Tapa plana c/agujero blanca vaso 10/12/16/20 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",1963.78
014BAMBUPLAP,Tapa plana c/agujero blanca vaso 10/12/16/20 oz compostable Caña Azúcar PQTE 50 Pzas. CA*2,113.36
013BAMBUPLAP,Tapa vaso 10/12/16/20 oz térmico (cafetera) blanca Caña Azúcar PQTE 50 Pzas. CA*2,127.25
009BAMBUPLA,"Vaso 10 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",2300.67
009BAMBUPLAP,Vaso 10 oz bebida caliente beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,146.85
010BAMBUPLA,"Vaso 12 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",2416.67
010BAMBUPLAP,Vaso 12 oz bebida caliente beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,154.26
011BAMBUPLA,"Vaso 16 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",2745.33
011BAMBUPLAP,Vaso 16 oz bebida caliente beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,175.23
007BAMBUPLA,"Vaso 4 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",986.00
007BAMBUPLAP,Vaso 4 oz bebida caliente beige compostable Bambú + Pla PQTE 50 Pzas.B+PLA*2,62.94
