id,nombre,marca,categoria,descripcion,sku_caja,precio_caja,cantidad_caja,sku_paquete,precio_paquete,cantidad_paquete,unidad,foto,disponible
1,Popote café 21 cm Agave estuchado,Agave,Cubiertos y Accesorios,"Popote café 21 cm Agave estuchado CAJA 2,000 Pzas. AG*1",001AGAVE,1309.09,2000,001AGAVEP,400.00,500,Pzas,popote-cafe-21-cm-agave-estuchado.jpg,TRUE
2,Bolsa camiseta Agave Vitabag Chica 25x15x41 cm,Agave,Bolsas,Bolsa camiseta Agave Vitabag Chica 25x15x41 cm CAJA 10 KG AG*5,002AGAVE,1174.32,10,002AGAVEP,135.58,1,KG,bolsa-camiseta-agave-vitabag-chica-25x15x41-cm.jpg,TRUE
3,Bolsa camiseta Agave Vitabag Grande 30x20x61 cm,Agave,Bolsas,Bolsa camiseta Agave Vitabag Grande 30x20x61 cm CAJA 10 KG. AG*5,004AGAVE,1096.06,10,004AGAVEP,126.55,1,KG,bolsa-camiseta-agave-vitabag-grande-30x20x61-cm.jpg,TRUE
4,Bolsa camiseta Agave Vitabag Mediana 25x15x51 cm,Agave,Bolsas,Bolsa camiseta Agave Vitabag Mediana 25x15x51 cm CAJA 10 KG. AG*5,003AGAVE,1174.32,10,003AGAVEP,135.58,1,KG,bolsa-camiseta-agave-vitabag-mediana-25x15x51-cm.jpg,TRUE
5,Contenedor redondo 26 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,Contenedor redondo 26 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,004.1BAMBUPLA,1260.47,300,004.1BAMBUPLAP,247.40,50,Pzas,contenedor-redondo-26-oz-beige-compostable-bambu-pla.jpg,TRUE
6,Contenedor redondo 35 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,Contenedor redondo 35 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,005.1BAMBUPLA,1351.81,300,005.1BAMBUPLAP,265.32,50,Pzas,contenedor-redondo-35-oz-beige-compostable-bambu-pla.jpg,TRUE
7,Contenedor redondo 46 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,Contenedor redondo 46 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,005.2BAMBUPLA,1589.29,300,005.2BAMBUPLAP,311.93,50,Pzas,contenedor-redondo-46-oz-beige-compostable-bambu-pla.jpg,TRUE
8,Contenedor térmico 8 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,"Contenedor térmico 8 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",002BAMBUPLA,2484.41,1000,002BAMBUPLAP,143.42,50,Pzas,contenedor-termico-8-oz-beige-compostable-bambu-pla.jpg,TRUE
9,Contenedor térmico 12 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,"Contenedor térmico 12 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",003.0BAMBUPLA,3068.98,1000,003.0BAMBUPLAP,177.16,50,Pzas,contenedor-termico-12-oz-beige-compostable-bambu-pla.jpg,TRUE
10,Contenedor térmico 16 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,Contenedor térmico 16 oz beige compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,003.1BAMBUPLA,1554.33,500,003.1BAMBUPLAP,179.45,50,Pzas,contenedor-termico-16-oz-beige-compostable-bambu-pla.jpg,TRUE
