Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Cuidados PLA (product.metafields.custom.cuidados_pla),Material PLA (product.metafields.custom.material),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
vasos-compostables-doble-pared-papel-pla,Vasos compostables térmicos Doble Pared - Papel + PLA,"<p>Máximo aislamiento térmico y sostenibilidad en un solo producto. Nuestros <strong>Vasos de Doble Pared</strong> están diseñados para mantener tus bebidas calientes por más tiempo sin necesidad de mangas adicionales. La capa extra de papel crea una cámara de aire que protege las manos de tus clientes y mejora la experiencia de consumo.</p><p>Fabricados con papel certificado y recubrimiento interno de PLA (almidón de maíz), estos vasos son 100% compostables. La solución ideal para cafeterías de especialidad en <strong>Todos Santos</strong> y establecimientos que buscan lo mejor en empaques sustentables.</p><h3>Especificaciones Técnicas:</h3><ul>
<li>
<strong>Estructura:</strong> Doble capa de papel para aislamiento superior.</li>
<li>
<strong>Material:</strong> Papel de fuentes responsables con recubrimiento de bioplástico PLA.</li>
<li>
<strong>Uso:</strong> Especialmente diseñado para bebidas muy calientes (Café, Té, Chocolate).</li>
<li>
<strong>Biodegradabilidad:</strong> 100% compostable en instalaciones industriales.</li>
</ul>",xicopack,Uncategorized,Vasos,"Bebidas Calientes, Café, Doble Pared, Papel, Vasos",true,Tamaño,8 oz. (236 ml),,Cantidad,25 pzs.,,,,,008DPP,0.0,,deny,manual,66.38,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/90.jpg?v=1677028763,1,,false,Vasos compostables térmicos Doble Pared | Mayoreo - Xicopack,Compre Vasos compostables térmicos Doble Pared hecho de PLA (Fécula de Maíz). Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA...,,,,,,,,,,,,,,,,,,kg,,,true,,,active
vasos-compostables-doble-pared-papel-pla,,,,,,,,,8 oz. (236 ml),,,500 pzs.,,,,,008DP,0.0,,deny,manual,1154.34,,true,true,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,,,,,
vasos-compostables-doble-pared-papel-pla,,,,,,,,,12 oz. (355 ml),,,25 pzs.,,,,,009DPP,0.0,,deny,manual,82.80,,true,true,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,,,,,
vasos-compostables-doble-pared-papel-pla,,,,,,,,,12 oz. (355 ml),,,500 pzs.,,,,,009DP,0.0,,deny,manual,1440.00,,true,true,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,,,,,
vasos-compostables-doble-pared-papel-pla,,,,,,,,,16 oz. (473 ml),,,25 pzs.,,,,,010DPP,0.0,,deny,manual,96.98,,true,true,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,,,,,
vasos-compostables-doble-pared-papel-pla,,,,,,,,,16 oz. (473 ml),,,500 pzs.,,,,,010DP,0.0,,deny,manual,1686.67,,true,true,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,kg,,,,,,
lunch-box-8x6-beige-liso-paja-trigo-caja-400-pzas-pt-1,"Lunch Box 8x6"" beige liso Paja Trigo CAJA 400 Pzas. PT*1",,Xicopack,Business & Industrial > Food Service > Take-Out Containers,,,true,Title,Default Title,,,,,,,,017PTRIGO,0.0,,deny,manual,2144.89,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/files/images_9436903b-835f-4127-a73c-3d5b44f51b87.jpg?v=1777678684,1,,false,"Lunch Box 8x6"" beige liso Paja Trigo CAJA 400 | Mayoreo - Xicopack","Compre Lunch Box 8x6"" beige liso Paja Trigo CAJA 400 Pzas. PT*1 hecho de Paja de Trigo. Producto eco-friendly de alta resistencia ideal para restaurante...",5097,,,,,,,,,,,,,,beige,,,kg,,,true,,,active
lunch-box-8x6-beige-liso-paja-trigo-pqte-50,"Lunch Box 8x6"" beige liso Paja Trigo PQTE 50",,xicopack,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Lunch Boxes & Totes > Lunch Containers,Contenedor compostable,,true,Title,Default Title,,,,,,,,017PTRIGOP,0.0,,deny,manual,340.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/files/images.jpg?v=1777678474,1,,false,"Lunch Box 8x6"" beige liso Paja Trigo PQTE 50 | Mayoreo - Xicopack","Compre Lunch Box 8x6"" beige liso Paja Trigo PQTE 50 hecho de Paja de Trigo. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. ...",669,,,,,,,,,,,,,,,,,kg,,,true,,,active
tapa-ensaladera-compostable-pla,Tapa Ensaladera compostable - PLA,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">TAPA PARA ENSALADERA COMPOSTABLE BIODEGRADABLE FABRICADA CON PLA</strong></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Los contenedores XICOPACK están hechos de plantas y no de petróleo. Es una diferencia que importa a los consumidores. Brindan claridad cristalina, calidad superior y durabilidad.</span></p>
<p data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Disponibles en una amplia gama de tamaños, son la elección correcta para su negocio.</span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">MATERIAL</strong></p>
<p data-mce-fragment=""1"">Fabricado con PLA (Polylactic Acid)<br data-mce-fragment=""1""><br data-mce-fragment=""1"">El PLA está hecho de ácido láctico. El ácido láctico se obtiene a partir de la dextrosa por fermentación. La dextrosa está hecha de almidón, y el almidón se produce a partir de fuentes vegetales renovables anualmente, como el maíz.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">El PLA es transparente y fuerte como el plástico a base de petróleo y se puede compostar en instalaciones municipales o industriales gestionadas activamente, que puede no estar disponible en su área.<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">CARACTERISTICAS Y BENEFICIOS</span></strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Las fuentes vegetales para hacer vasos se renuevan anualmente</span></li>
<li data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Claro como el cristal para una visibilidad completa del producto</span></li>
<li data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Colocación y extracción de la tapa a presión resistente a las fugas</span></li>
<li data-mce-fragment=""1"">Dígales a sus clientes que se preocupa por el medio ambiente.</li>
<li data-mce-fragment=""1""><span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Certificado por BPI para ser 100% compostable en instalaciones industriales.</span></li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">DIMENSIONES CONTENEDOR </strong></p>
<table height=""178"" data-mce-fragment=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">Capacidad</td>
<td data-mce-fragment=""1"">Altura (cm)</td>
<td data-mce-fragment=""1"">Diámetro Superior (cm)</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<meta charset=""utf-8"">16 oz. </td>
<td data-mce-fragment=""1"">2<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"">13.7<br data-mce-fragment=""1"">
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"">
<meta charset=""utf-8"">24/32/48 oz. </td>
<td data-mce-fragment=""1"">1.5<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"">17.5<br data-mce-fragment=""1"">
</td>
</tr>
</tbody>
</table>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">CUIDADOS</strong></p>
<p data-mce-fragment=""1"">Rango de Temperatura: 40°F / 4° C a 105°F / 40°C<br data-mce-fragment=""1"">Mantener lejos de cualquier fuente de calor<br data-mce-fragment=""1"">Almacenar en lugares secos y lejos de los rayos del sol.<strong data-mce-fragment=""1""><br data-mce-fragment=""1""></strong></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">DIMENSIONES CAJA </strong></p>
<table height=""261"" data-mce-fragment=""1"" data-mce-selected=""1"">
<tbody data-mce-fragment=""1"">
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" data-mce-selected=""1"">Vaso<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">Alto (cm)</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">Ancho (cm)</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">Largo (cm)</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">Peso (kg)</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" data-mce-selected=""1"">
<meta charset=""utf-8"">16 oz. </td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">40<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">45<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">31<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">11<br data-mce-fragment=""1"">
</td>
</tr>
<tr data-mce-fragment=""1"">
<td data-mce-fragment=""1"" data-mce-selected=""1"">
<meta charset=""utf-8"">24/32/48 oz. </td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">56<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">37<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">54<br data-mce-fragment=""1"">
</td>
<td data-mce-fragment=""1"" data-mce-selected=""1"">11<br data-mce-fragment=""1"">
</td>
</tr>
</tbody>
</table>",xicopack,Business & Industrial > Food Service > Disposable Lids,Ensaladera compostable,"Comida p/llevar, Contenedores, Ensaladera, PLA",true,Tamaño,16 oz,,Cantidad,50 pzs.,,,,,031PLAP,200.0,shopify,deny,manual,184.27,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0666/4382/0842/products/IMG_0301_e54428f6-2f8d-4795-b695-7db621125a84.heic?v=1668052240,1,,false,Tapa Ensaladera compostable | Mayoreo México - Xicopack,Compre Tapa Ensaladera compostable hecho de PLA (Fécula de Maíz). Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a t...,,,,,,,,,,,,"Rango de Temperatura: 40°F / 4° C a 105°F / 40°C
Mantener lejos de cualquier fuente de calor
Almacenar en lugares secos y lejos de los rayos del sol.
","Fabricado con PLA (Polylactic Acid) 

El PLA está hecho de ácido láctico. El ácido láctico se obtiene a partir de la dextrosa por fermentación. La dextrosa está hecha de almidón, y el almidón se produce a partir de fuentes vegetales renovables anualmente, como el maíz. 

El PLA es transparente y fuerte como el plástico a base de petróleo y se puede compostar en instalaciones municipales o industriales gestionadas activamente, que puede no estar disponible en su área. ",,,,,g,,125.41,true,,,active
tapa-ensaladera-compostable-pla,,,,,,,,,16 oz,,,450 pzs.,,,,,031PLA,200.0,shopify,deny,manual,1468.79,,true,false,,,,,,,,,, | Mayoreo México - Xicopack,Compre  hecho de Biodegradable. Producto eco-friendly de alta resistencia ideal para restaurantes y HORECA. Envíos a todo México. ¡Mayoreo aquí!,,,,,,,,,,,,,,,,,,g,,1129.84,,,,
